x,y,total_attenuation_dB
13,35.0,67.8
13,36.0,67.7
13,37.0,67.7
13,38.0,67.7
13,39.0,67.7
13,40.0,67.6
13,41.0,67.6
13,42.0,67.6
13,43.0,67.6
13,44.0,67.6
13,45.0,67.5
13,46.0,67.5
13,47.0,67.5
13,48.0,67.5
13,49.0,77.5
13,50.0,77.5
13,51.0,77.5
13,52.0,67.5
13,53.0,67.5
13,54.0,67.5
13,55.0,72.5
13,56.0,72.6
13,57.0,72.6
13,58.0,67.6
13,59.0,67.6
13,60.0,67.6
13,61.0,67.7
13,62.0,67.7
13,63.0,67.7
13,64.0,67.7
13,65.0,67.8
13,66.0,67.8
13,67.0,67.8
13,68.0,67.9
13,69.0,67.9
13,70.0,67.9
13,71.0,68.0
13,72.0,68.0
13,73.0,68.1
13,74.0,68.1
13,75.0,68.2
13,76.0,68.2
13,77.0,68.3
13,78.0,68.3
13,79.0,68.4
13,80.0,68.4
13,81.0,68.5
13,82.0,68.5
13,83.0,68.6
13,84.0,68.7
13,85.0,68.7
13,86.0,68.8
13,87.0,68.8
13,88.0,68.9
13,89.0,69.0
13,90.0,69.0
